22-Oct,1,Vishwanath ,10,"3000.00"
22-Oct,7,DMart 4eries,4,"6258.00"
22-Oct,7,Balaji Jwellery,26,"7200.00"
22-Oct,7,DHCS Enterprises - Patakhe,11,"3364.00"
22-Oct,7,New Wholesale Enterprises - Jhalar Diwalio,11,300
22-Oct,7,Ramdev Medicals,20,317
22-Oct,7,Birbal Biryani,9,724
22-Oct,12,BookMyShow Movie,8,754.04
22-Oct,12,All Season Hypermart,5,"1510.00"
23-Oct,2,Jerome G Juice Shop,9,190
23-Oct,7,Tasty Yum,9,350
23-Oct,7,Inox Lesuires,9,280
23-Oct,7,Adyar Annad Bhawan,9,44
23-Oct,15,Madhuloka,10,"6300.00"
23-Oct,12,Licious Razorpau,4,"2119.00"
23-Oct,12,Soch Srishti Sari,8,"1298.00"
23-Oct,12,KFC Banglaore ,9,877.01
23-Oct,12,Colorbar Cosmetics Pvt,8,"1200.00"
23-Oct,4,RamyaM Blouse stiching,8,"1100.00"
24-Oct,7,A1 Supermarket,4,"10000.00"
24-Oct,7,Fresto Hypermart Diwali Gifts,8,"3065.00"
24-Oct,1,homecleaning99 sofa cleaning,5,"2700.00"
24-Oct,1,Satyaraj Joshi Car Cleaning,5,100
24-Oct,4,Hemavath ,9,25
26-Oct,7,DMart 4eries,4,"3065.90"
26-Oct,7,DMart Annaporna Mata ,11,"1021.45"
26-Oct,7,Uddupi Paakashale,9,295
26-Oct,15,Madhuloka,10,"3000.00"
27-Oct,2,Ramdev Medicals,20,65
28-Oct,4,Sainudeen,9,20
28-Oct,4,Syed Mobile Repair Piyu,8,"3000.00"
29-Oct,16,Mahalaxmi Enterprises,10,330
29-Oct,16,Ramdev Medicals,20,96
29-Oct,15,Madhuloka,10,"6300.00"
29-Oct,13,PP CHarges IND,5,"5271.69"
29-Oct,4,Karthik,8,220
29-Oct,4,Karthik,8,205
30-Oct,2,Rachna Diwali Cel,11,500
30-Oct,7,HPCL Sompura Bike Petrol,5,915.33
30-Oct,7,Hotel New Nellai Bhavan - Hossur temple visit breakfast,9,219
30-Oct,1,14 returned by Solanki,14,"-3980.00"
