24-Sep,2,Universal Pharmacy,20,53
24-Sep,4,Khushboo,12,520
24-Sep,4,Dinesh - HC Guest House Rent + Food (1000 cash),12,3200
24-Sep,4,Anurag,12,175
24-Sep,13,Aditya Services Allahabad,12,1010
25-Sep,12,The Liquor King,10,1140
25-Sep,12,Sunder Bakery Store - Cheeslings,12,130
25-Sep,2,CHote Lal Modi,10,660
25-Sep,5,Cash Withdrawal,12,5000
26-Sep,12,The King Liquour,10,2280
26-Sep,12,Sunder Bakery Son papdi Dairy Milk,12,255
26-Sep,2,CHote Lal Modi,10,660
27-Sep,4,Durgesh,12,280
27-Sep,4,Paris gi,12,1730
27-Sep,4,Paris gi,12,165
27-Sep,4,Chandra,12,40
27-Sep,4,Bimal Na,12,250
27-Sep,4,Bob Acc,12,155
27-Sep,4,Awadh Ju,12,80
27-Sep,4,Mobile repair Piyu,12,1500
27-Sep,2,Jyotish Kumar - Cigg,10,330
28-Sep,2,Jyotish Kumar - Cigg,10,330
28-Sep,12,F B Hospitality Lucknow  Beer,10,276
28-Sep,12,Metro Brands Limit Lucknow,12,1290
28-Sep,12,Metro Brands Limit Lucknow,12,5500
29-Sep,1,Deepak Agrawal,12,100
29-Sep,2,Ganga Pd Saini,10,660
30-Sep,2,Rajesh Golgappa,12,40
30-Sep,15,Jungle of Toys & Deco - Piyu Books,12,104
30-Sep,2,Anjalika Impex,12,90
30-Sep,13,Ram Nath Jaiswal Delhi,12,470
30-Sep,13,Fine Drops - Noida ,10,900
30-Sep,4,Wow Momos Noida,12,230
30-Sep,4,Shauraya Sec 75 Shoppong,12,140
30-Sep,4,IKONIC Piyu Ishi Haircut,12,800
